household_id,person_weight,log_salary,any_home_internet,digital_access_score,education_band,matric_plus,age_centred,age_centred_squared,female,population_group,province,settlement_type
165100330000023601,1272.04388626,8.699514748210191,0,1,Some secondary,0,-10,100,0,Black African,Western Cape,Non-metro urban
165100330000023601,1272.04388626,8.699514748210191,0,1,Some secondary,0,-3,9,1,Black African,Western Cape,Non-metro urban
165100330000027601,855.664612487,8.294049640102028,1,2,Some secondary,0,-13,169,1,Black African,Western Cape,Non-metro urban
165100510000004701,1648.70742054,9.49942146534167,1,3,No schooling,0,20,400,0,Coloured,Western Cape,Non-metro urban
165100510000004701,1648.70742054,9.49942146534167,1,3,Post-school certificate/diploma,1,-6,36,1,Coloured,Western Cape,Non-metro urban
165100510000007901,785.851889768,9.49942146534167,1,4,Post-school certificate/diploma,1,0,0,1,White,Western Cape,Non-metro urban
165100510000009501,848.077885854,9.97966124675897,1,4,Degree,1,-4,16,0,White,Western Cape,Non-metro urban
165100510000011101,686.584136618,8.847647355711887,1,4,Matric,1,-10,100,0,Coloured,Western Cape,Non-metro urban
165100640000000801,1175.07754822,9.156412029950626,1,2,No schooling,0,3,9,0,Black African,Western Cape,Non-metro urban
165100640000004201,499.608263629,9.49942146534167,1,3,Matric,1,14,196,1,Coloured,Western Cape,Non-metro urban
165100640000007601,839.630780639,9.156412029950626,1,3,Matric,1,12,144,0,Coloured,Western Cape,Non-metro urban
165100640000007601,839.630780639,9.156412029950626,1,3,Matric,1,14,196,1,Coloured,Western Cape,Non-metro urban
165100640000011001,761.114856262,8.847647355711887,1,4,Matric,1,21,441,1,Coloured,Western Cape,Non-metro urban
165100640000011001,761.114856262,8.847647355711887,1,4,Degree,1,-12,144,1,Coloured,Western Cape,Non-metro urban
165100640000014401,628.037845297,8.847647355711887,1,3,Some secondary,0,21,441,1,Coloured,Western Cape,Non-metro urban
165100640000017801,600.008957258,8.005367067316664,1,3,Matric,1,-10,100,1,Coloured,Western Cape,Non-metro urban
165100790040000201,1612.03202625,8.476371196895983,0,0,No schooling,0,4,16,0,Black African,Western Cape,Non-metro urban
165100790040000201,1612.03202625,8.294049640102028,0,0,Some secondary,0,3,9,1,Black African,Western Cape,Non-metro urban
165100790040000401,1707.59871165,7.600902459542082,1,2,Primary (Grade R-7),0,-8,64,0,Black African,Western Cape,Non-metro urban
165100790040000401,1707.59871165,7.600902459542082,1,2,Primary (Grade R-7),0,-12,144,1,Black African,Western Cape,Non-metro urban
