household_id,person_weight,employed,age_centred,age_centred_squared,female,population_group,province,settlement_type,education_band,matric_plus,has_fixed_internet,has_mobile_internet,has_computer,any_home_internet,digital_access_score,smartphone_access,edu_digital_group,household_size,n_children_under15,elderly_in_household,dependency_ratio,female_x_children,other_member_matric
162100450000004001,945.782010973,Employed,-5,25,0,Coloured,Western Cape,Non-metro urban,Matric,1,1,1,0,1,3,Fewer than 1 per member,"Matric+, internet",3,1,0,0.5,0,Yes
162100450000004001,945.782010973,Employed,-3,9,1,Coloured,Western Cape,Non-metro urban,Matric,1,1,1,0,1,3,Fewer than 1 per member,"Matric+, internet",3,1,0,0.5,1,Yes
162100450000009401,1407.65141455,Employed,-2,4,1,Coloured,Western Cape,Non-metro urban,Matric,1,0,1,0,1,2,Fewer than 1 per member,"Matric+, internet",5,1,0,0.25,1,Yes
162100450000009401,1407.65141455,Employed,-13,169,0,Coloured,Western Cape,Non-metro urban,Matric,1,0,1,0,1,2,Fewer than 1 per member,"Matric+, internet",5,1,0,0.25,0,Yes
162100450000011201,840.384199807,Employed,19,361,0,Coloured,Western Cape,Non-metro urban,Degree,1,1,1,1,1,4,1 or more per member,"Matric+, internet",4,0,0,0,0,Yes
162100450000011201,840.384199807,Employed,14,196,1,Coloured,Western Cape,Non-metro urban,Post-school certificate/diploma,1,1,1,1,1,4,1 or more per member,"Matric+, internet",4,0,0,0,0,Yes
162100450000011201,840.384199807,Employed,-11,121,0,Coloured,Western Cape,Non-metro urban,Matric,1,1,1,1,1,4,1 or more per member,"Matric+, internet",4,0,0,0,0,Yes
162100450000014801,711.558865387,Employed,-9,81,0,Coloured,Western Cape,Non-metro urban,Some secondary,0,1,0,0,1,2,1 or more per member,"Below matric, internet",1,0,0,0,0,No other working-age member
162100580000003101,1398.56485076,Employed,22,484,1,White,Western Cape,Non-metro urban,Some secondary,0,0,0,0,0,1,1 or more per member,,5,0,1,0.6666666666666666,0,Yes
162100580000003101,1398.56485076,Unemployed,21,441,0,White,Western Cape,Non-metro urban,Matric,1,0,0,0,0,1,1 or more per member,"Matric+, no internet",5,0,1,0.6666666666666666,0,Yes
162100580000003101,1398.56485076,Unemployed,20,400,1,White,Western Cape,Non-metro urban,Matric,1,0,0,0,0,1,1 or more per member,"Matric+, no internet",5,0,1,0.6666666666666666,0,Yes
162100580000024801,1401.2051882,Employed,15,225,0,White,Western Cape,Non-metro urban,Some secondary,0,0,1,1,1,3,1 or more per member,"Below matric, internet",2,0,0,0,0,Yes
162100580000024801,1401.2051882,Unemployed,14,196,1,White,Western Cape,Non-metro urban,Post-school certificate/diploma,1,0,1,1,1,3,1 or more per member,"Matric+, internet",2,0,0,0,0,No
