household_id,person_number,psu,province_code,sex_code,age,population_group_code,geo_type_code,metro_indicator,person_weight,household_id_flag,age_flag,province,sex,population_group,geo_type,metro
162100580000024801,02,16210058000,1,2,54,4,1,2,1401.2051882,NA,NA,Western Cape,Female,White,Urban,Non-metro
162100750000001001,01,16210075000,1,1,23,2,1,2,1402.7069635,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
162100750000001001,02,16210075000,1,2,28,2,1,2,1402.7069635,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
162100750000005201,01,16210075000,1,2,23,1,1,2,828.481561596,NA,NA,Western Cape,Female,Black African,Urban,Non-metro
162100850000001001,01,16210085000,1,1,33,2,1,2,1518.42134858,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
162100850000001001,02,16210085000,1,2,30,2,1,2,1518.42134858,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
162100850000002901,01,16210085000,1,1,49,2,1,2,1300.70609223,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
162100850000002901,02,16210085000,1,2,50,2,1,2,1300.70609223,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
162100850000002901,03,16210085000,1,2,28,2,1,2,1300.70609223,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
162100850000002901,04,16210085000,1,1,22,2,1,2,1300.70609223,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
162100850000002901,05,16210085000,1,1,15,2,1,2,1300.70609223,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
162100850000004801,01,16210085000,1,2,36,1,1,2,931.616906954,NA,NA,Western Cape,Female,Black African,Urban,Non-metro
162100850000006701,01,16210085000,1,1,40,1,1,2,1517.34212848,NA,NA,Western Cape,Male,Black African,Urban,Non-metro
162100850000006701,02,16210085000,1,2,38,1,1,2,1517.34212848,NA,NA,Western Cape,Female,Black African,Urban,Non-metro
162100850000006701,03,16210085000,1,2,15,1,1,2,1517.34212848,NA,NA,Western Cape,Female,Black African,Urban,Non-metro
162100850000008601,01,16210085000,1,1,56,1,1,2,1099.42315588,NA,NA,Western Cape,Male,Black African,Urban,Non-metro
162100850000008601,02,16210085000,1,1,28,1,1,2,1099.42315588,NA,NA,Western Cape,Male,Black African,Urban,Non-metro
162100850000010501,01,16210085000,1,1,36,1,1,2,1025.71020502,NA,NA,Western Cape,Male,Black African,Urban,Non-metro
162100850000010501,02,16210085000,1,2,36,2,1,2,1025.71020502,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
162100850000014301,01,16210085000,1,1,27,1,1,2,1258.2818594,NA,NA,Western Cape,Male,Black African,Urban,Non-metro
162100850000014301,02,16210085000,1,2,25,1,1,2,1258.2818594,NA,NA,Western Cape,Female,Black African,Urban,Non-metro
162100940000024301,01,16210094000,1,1,62,2,3,2,1865.7800593,NA,NA,Western Cape,Male,Coloured,Farms,Non-metro
162100940000024301,02,16210094000,1,2,62,2,3,2,1865.7800593,NA,NA,Western Cape,Female,Coloured,Farms,Non-metro
162100940000024301,03,16210094000,1,2,27,2,3,2,1865.7800593,NA,NA,Western Cape,Female,Coloured,Farms,Non-metro
162100940000024301,04,16210094000,1,2,22,2,3,2,1865.7800593,NA,NA,Western Cape,Female,Coloured,Farms,Non-metro
163100220000001101,01,16310022000,1,2,43,1,1,2,847.505688688,NA,NA,Western Cape,Female,Black African,Urban,Non-metro
163100220000003801,01,16310022000,1,1,43,2,1,2,1162.68261854,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163100220000003801,02,16310022000,1,2,54,2,1,2,1162.68261854,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
163100220000003801,03,16310022000,1,2,21,2,1,2,1162.68261854,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
163100220000003801,04,16310022000,1,1,19,2,1,2,1162.68261854,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163100220000006501,01,16310022000,1,1,48,2,1,2,1232.24787685,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163100220000006501,02,16310022000,1,2,53,2,1,2,1232.24787685,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
163100220000006501,03,16310022000,1,2,27,2,1,2,1232.24787685,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
163100220000006501,04,16310022000,1,1,23,2,1,2,1232.24787685,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163100220000006501,05,16310022000,1,1,18,2,1,2,1232.24787685,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163100220000009201,01,16310022000,1,1,39,2,1,2,840.116690001,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163100220000011901,01,16310022000,1,1,47,2,1,2,1081.48280721,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163100220000011901,02,16310022000,1,2,47,2,1,2,1081.48280721,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
163100220000014601,01,16310022000,1,1,43,1,1,2,1784.94926376,NA,NA,Western Cape,Male,Black African,Urban,Non-metro
163100220000014601,02,16310022000,1,2,34,1,1,2,1784.94926376,NA,NA,Western Cape,Female,Black African,Urban,Non-metro
163100220000014601,03,16310022000,1,2,43,1,1,2,1784.94926376,NA,NA,Western Cape,Female,Black African,Urban,Non-metro
163100220000014601,04,16310022000,1,2,28,1,1,2,1784.94926376,NA,NA,Western Cape,Female,Black African,Urban,Non-metro
163100220000017301,01,16310022000,1,2,44,2,1,2,1345.04380056,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
163100220000017301,02,16310022000,1,1,41,2,1,2,1345.04380056,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163100220000017301,03,16310022000,1,2,24,2,1,2,1345.04380056,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
163100220000017301,04,16310022000,1,1,20,2,1,2,1345.04380056,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163100220000017301,05,16310022000,1,1,17,2,1,2,1345.04380056,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163100220000020001,01,16310022000,1,1,57,2,1,2,623.147883134,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163100940000001701,01,16310094000,1,1,31,2,1,2,1067.62365739,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163100940000001701,02,16310094000,1,2,31,2,1,2,1067.62365739,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
163100940000003401,01,16310094000,1,2,38,2,1,2,1103.31376233,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
163100940000003401,02,16310094000,1,1,31,2,1,2,1103.31376233,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163100940000003401,03,16310094000,1,1,32,2,1,2,1103.31376233,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163100940000005101,01,16310094000,1,2,64,2,1,2,485.173207733,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
163100940000006801,02,16310094000,1,1,53,2,1,2,1164.25248258,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163100940000006801,03,16310094000,1,1,29,2,1,2,1164.25248258,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163100940000006801,04,16310094000,1,2,23,2,1,2,1164.25248258,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
163100940000006801,05,16310094000,1,1,25,2,1,2,1164.25248258,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163100940000008501,01,16310094000,1,1,50,2,1,2,682.689877894,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163100940000008501,02,16310094000,1,1,55,2,1,2,682.689877894,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163100940000008501,03,16310094000,1,2,50,2,1,2,682.689877894,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
163100940000010201,01,16310094000,1,2,48,2,1,2,1172.58930704,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
163100940000010201,02,16310094000,1,1,28,2,1,2,1172.58930704,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163100940000010201,03,16310094000,1,1,26,2,1,2,1172.58930704,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163100940000011901,01,16310094000,1,1,43,2,1,2,985.977630849,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163100940000011901,02,16310094000,1,2,39,2,1,2,985.977630849,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
163101070000003301,02,16310107000,1,2,53,4,1,2,1823.00134694,NA,NA,Western Cape,Female,White,Urban,Non-metro
163101070000003301,03,16310107000,1,1,51,4,1,2,1823.00134694,NA,NA,Western Cape,Male,White,Urban,Non-metro
163101070000003301,04,16310107000,1,1,49,4,1,2,1823.00134694,NA,NA,Western Cape,Male,White,Urban,Non-metro
163101070000003301,05,16310107000,1,2,39,4,1,2,1823.00134694,NA,NA,Western Cape,Female,White,Urban,Non-metro
163101070000005401,01,16310107000,1,2,34,4,1,2,1085.56184964,NA,NA,Western Cape,Female,White,Urban,Non-metro
163101070000005401,02,16310107000,1,1,35,4,1,2,1085.56184964,NA,NA,Western Cape,Male,White,Urban,Non-metro
163101070000011701,01,16310107000,1,1,38,4,1,2,1218.72950732,NA,NA,Western Cape,Male,White,Urban,Non-metro
163101070000011701,02,16310107000,1,2,33,4,1,2,1218.72950732,NA,NA,Western Cape,Female,White,Urban,Non-metro
163101550000002501,01,16310155000,1,1,41,1,1,2,1681.58303905,NA,NA,Western Cape,Male,Black African,Urban,Non-metro
163101550000002501,02,16310155000,1,2,40,1,1,2,1681.58303905,NA,NA,Western Cape,Female,Black African,Urban,Non-metro
163101550000002501,03,16310155000,1,2,22,1,1,2,1681.58303905,NA,NA,Western Cape,Female,Black African,Urban,Non-metro
163101550000002501,04,16310155000,1,2,24,1,1,2,1681.58303905,NA,NA,Western Cape,Female,Black African,Urban,Non-metro
163101550000005001,01,16310155000,1,1,47,1,1,2,809.674174309,NA,NA,Western Cape,Male,Black African,Urban,Non-metro
163101550000007501,01,16310155000,1,2,44,1,1,2,925.989345717,NA,NA,Western Cape,Female,Black African,Urban,Non-metro
163101550000007501,02,16310155000,1,2,17,1,1,2,925.989345717,NA,NA,Western Cape,Female,Black African,Urban,Non-metro
163101550000010001,01,16310155000,1,2,41,1,1,2,1015.75624247,NA,NA,Western Cape,Female,Black African,Urban,Non-metro
163101550000010001,02,16310155000,1,1,49,1,1,2,1015.75624247,NA,NA,Western Cape,Male,Black African,Urban,Non-metro
163101550000012501,01,16310155000,1,1,31,2,1,2,1222.78487939,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163101550000012501,02,16310155000,1,2,30,2,1,2,1222.78487939,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
163101550000015001,01,16310155000,1,2,24,1,1,2,828.481561596,NA,NA,Western Cape,Female,Black African,Urban,Non-metro
163101550000017501,01,16310155000,1,1,32,2,1,2,1408.68554955,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163101550000017501,02,16310155000,1,1,33,2,1,2,1408.68554955,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
